model,accuracy,precision,recall,f1,roc_auc,threshold,test_rows
TF-IDF + Logistic Regression,0.9855348306052532,0.9825819672131147,0.9785714285714285,0.9805725971370143,0.9989417989417989,0.54,2627
DistilBERT V1,0.9878188047202132,0.9846625766871165,0.9826530612244898,0.9836567926455567,0.9988916149337695,0.1,2627
DistilBERT V2,0.9855348306052532,0.9757575757575757,0.9857142857142858,0.9807106598984772,0.9987822633607176,0.1,2627
