accuracy,precision,recall,f1,roc_auc,threshold
0.9855293221629855,0.971,0.9908163265306122,0.9808080808080808,0.9980754209338658,0.1
0.9851485148514851,0.970970970970971,0.9897959183673469,0.9802930773117736,0.9980754209338658,0.11
0.9855293221629855,0.9719438877755511,0.9897959183673469,0.980788675429727,0.9980754209338658,0.12000000000000001
0.9855293221629855,0.9719438877755511,0.9897959183673469,0.980788675429727,0.9980754209338658,0.13
0.9855293221629855,0.9719438877755511,0.9897959183673469,0.980788675429727,0.9980754209338658,0.14
0.9855293221629855,0.9719438877755511,0.9897959183673469,0.980788675429727,0.9980754209338658,0.15000000000000002
0.9855293221629855,0.9719438877755511,0.9897959183673469,0.980788675429727,0.9980754209338658,0.16
0.9855293221629855,0.9719438877755511,0.9897959183673469,0.980788675429727,0.9980754209338658,0.17
0.9851485148514851,0.9719157472417251,0.9887755102040816,0.9802731411229135,0.9980754209338658,0.18
0.9851485148514851,0.9719157472417251,0.9887755102040816,0.9802731411229135,0.9980754209338658,0.19
0.9851485148514851,0.9719157472417251,0.9887755102040816,0.9802731411229135,0.9980754209338658,0.2
0.9851485148514851,0.9719157472417251,0.9887755102040816,0.9802731411229135,0.9980754209338658,0.21000000000000002
0.9851485148514851,0.9719157472417251,0.9887755102040816,0.9802731411229135,0.9980754209338658,0.22
0.9851485148514851,0.9719157472417251,0.9887755102040816,0.9802731411229135,0.9980754209338658,0.23
0.9851485148514851,0.9719157472417251,0.9887755102040816,0.9802731411229135,0.9980754209338658,0.24000000000000002
0.9851485148514851,0.9719157472417251,0.9887755102040816,0.9802731411229135,0.9980754209338658,0.25
0.9851485148514851,0.9719157472417251,0.9887755102040816,0.9802731411229135,0.9980754209338658,0.26
0.9851485148514851,0.9719157472417251,0.9887755102040816,0.9802731411229135,0.9980754209338658,0.27
0.9851485148514851,0.9719157472417251,0.9887755102040816,0.9802731411229135,0.9980754209338658,0.28
0.9851485148514851,0.9719157472417251,0.9887755102040816,0.9802731411229135,0.9980754209338658,0.29000000000000004
0.9851485148514851,0.9719157472417251,0.9887755102040816,0.9802731411229135,0.9980754209338658,0.30000000000000004
0.9851485148514851,0.9719157472417251,0.9887755102040816,0.9802731411229135,0.9980754209338658,0.31
0.9851485148514851,0.9719157472417251,0.9887755102040816,0.9802731411229135,0.9980754209338658,0.32
0.9851485148514851,0.9719157472417251,0.9887755102040816,0.9802731411229135,0.9980754209338658,0.33
0.9851485148514851,0.9719157472417251,0.9887755102040816,0.9802731411229135,0.9980754209338658,0.33999999999999997
0.9855293221629855,0.9728915662650602,0.9887755102040816,0.9807692307692307,0.9980754209338658,0.35
0.9855293221629855,0.9728915662650602,0.9887755102040816,0.9807692307692307,0.9980754209338658,0.36
0.9855293221629855,0.9728915662650602,0.9887755102040816,0.9807692307692307,0.9980754209338658,0.37
0.9855293221629855,0.9728915662650602,0.9887755102040816,0.9807692307692307,0.9980754209338658,0.38
0.9855293221629855,0.9728915662650602,0.9887755102040816,0.9807692307692307,0.9980754209338658,0.39
0.9855293221629855,0.9728915662650602,0.9887755102040816,0.9807692307692307,0.9980754209338658,0.4
