accuracy,precision,recall,f1,roc_auc,threshold
0.741051028179741,0.5903614457831325,1.0,0.7424242424242424,0.9978141195724949,0.1
0.7703731911652704,0.6190777005685407,1.0,0.7647288333983613,0.9978141195724949,0.11
0.7958872810357959,0.6464379947229552,1.0,0.7852564102564102,0.9978141195724949,0.12000000000000001
0.80997715156131,0.6626098715348209,1.0,0.7970719804798698,0.9978141195724949,0.13
0.825971058644326,0.6819763395963814,1.0,0.8109226313611916,0.9978141195724949,0.14
0.8419649657273419,0.7025089605734767,1.0,0.8252631578947368,0.9978141195724949,0.15000000000000002
0.8541507996953541,0.719002201027146,1.0,0.8365343576611183,0.9978141195724949,0.16
0.8651942117288652,0.7346326836581709,1.0,0.8470181503889369,0.9978141195724949,0.17
0.8728103579588729,0.745814307458143,1.0,0.8544027898866609,0.9978141195724949,0.18
0.8827113480578828,0.7608695652173914,1.0,0.8641975308641975,0.9978141195724949,0.19
0.8895658796648895,0.7716535433070866,1.0,0.8711111111111111,0.9978141195724949,0.2
0.8941355674028941,0.7794585987261147,0.9989795918367347,0.8756708407871199,0.9978141195724949,0.21000000000000002
0.9036557501904037,0.7952883834281073,0.9989795918367347,0.8855721393034826,0.9978141195724949,0.22
0.9093678598629094,0.8050986842105263,0.9989795918367347,0.8916211293260473,0.9978141195724949,0.23
0.9158415841584159,0.8165137614678899,0.9989795918367347,0.898577329050023,0.9978141195724949,0.24000000000000002
0.9204112718964204,0.8247683235046336,0.9989795918367347,0.9035532994923858,0.9978141195724949,0.25
0.9242193450114242,0.8323404255319149,0.9979591836734694,0.9076566125290023,0.9978141195724949,0.26
0.9299314546839299,0.8436960276338514,0.996938775510204,0.9139382600561272,0.9978141195724949,0.27
0.9360243716679361,0.8555166374781086,0.996938775510204,0.9208294062205467,0.9978141195724949,0.28
0.9428789032749428,0.8692170818505338,0.996938775510204,0.9287072243346007,0.9978141195724949,0.29000000000000004
0.9478293983244478,0.8793879387938794,0.996938775510204,0.9344811095169775,0.9978141195724949,0.30000000000000004
0.9508758568164509,0.885766092475068,0.996938775510204,0.9380700912145943,0.9978141195724949,0.31
0.9531607006854531,0.8906107566089334,0.996938775510204,0.940779971112181,0.9978141195724949,0.32
0.9558263518659559,0.8963302752293578,0.996938775510204,0.9439613526570049,0.9978141195724949,0.33
0.9577303884234577,0.9004608294930876,0.996938775510204,0.9462469733656175,0.9978141195724949,0.33999999999999997
0.9603960396039604,0.9063079777365491,0.996938775510204,0.9494655004859086,0.9978141195724949,0.35
0.9626808834729627,0.9113805970149254,0.996938775510204,0.9522417153996101,0.9978141195724949,0.36
0.9657273419649657,0.918233082706767,0.996938775510204,0.9559686888454012,0.9978141195724949,0.37
0.9676313785224676,0.9225684608120869,0.996938775510204,0.9583128984796468,0.9978141195724949,0.38
0.9695354150799695,0.9285714285714286,0.9948979591836735,0.9605911330049262,0.9978141195724949,0.39
0.9710586443259711,0.9321223709369025,0.9948979591836735,0.9624876604146101,0.9978141195724949,0.4
0.9714394516374715,0.9346781940441883,0.9928571428571429,0.962889658584859,0.9978141195724949,0.41000000000000003
0.9752475247524752,0.9437439379243453,0.9928571428571429,0.9676777722526106,0.9978141195724949,0.42000000000000004
0.9756283320639756,0.9455252918287937,0.9918367346938776,0.9681274900398407,0.9978141195724949,0.43000000000000005
0.9767707539984768,0.9482926829268292,0.9918367346938776,0.9695760598503741,0.9978141195724949,0.44000000000000006
0.9801980198019802,0.9566929133858267,0.9918367346938776,0.9739478957915831,0.9978141195724949,0.45000000000000007
0.9805788271134805,0.9603567888999008,0.9887755102040816,0.9743589743589743,0.9978141195724949,0.45999999999999996
0.9809596344249809,0.9622266401590457,0.9877551020408163,0.9748237663645518,0.9978141195724949,0.47
0.9817212490479817,0.966933867735471,0.9846938775510204,0.9757330637007078,0.9978141195724949,0.48
0.9817212490479817,0.9678714859437751,0.9836734693877551,0.9757085020242915,0.9978141195724949,0.49
0.9821020563594821,0.9688442211055276,0.9836734693877551,0.9762025316455696,0.9978141195724949,0.5
0.9821020563594821,0.9697885196374623,0.9826530612244898,0.9761784085149519,0.9978141195724949,0.51
0.9817212490479817,0.969758064516129,0.9816326530612245,0.9756592292089249,0.9978141195724949,0.52
0.9817212490479817,0.97165991902834,0.9795918367346939,0.975609756097561,0.9978141195724949,0.53
0.9824828636709825,0.9745934959349594,0.9785714285714285,0.9765784114052953,0.9978141195724949,0.54
0.9821020563594821,0.9755351681957186,0.976530612244898,0.9760326364099949,0.9978141195724949,0.55
